cover_id,member_name,top_1_choice,top_2_choice,top_3_choice,assigned_role,total_covers,total_got_1,total_got_2,total_got_3,total_got_none
29,diana,,,,karina,16,11,3,2,0
29,jess,karina,winter,ningning,winter,14,7,2,0,5
29,eldora,giselle,ningning,karina,giselle,22,11,5,0,6
29,eilene,ningning,,,ningning,8,5,2,1,0

#2months - ignore
#countdown - missing

#chkchkboom
30,jess,hyunjin,felix,han,hyunjin,15,7,3,0,5
30,eldora,felix,seungmin,han,seungmin,23,12,5,0,6
30,sydney,in,bangchan,changbin,bangchan,11,3,6,1,1
30,kelly,changbin,han,hyunjin,changbin,13,5,2,1,5
30,diana,han,bangchan,leeknow,han,17,11,3,2,1
30,sean,leeknow,hyunjin,han,leeknow,14,9,1,2,2
30,karen,in,changbin,felix,in,1,1,0,0,0
30,vivian,felix,hyunjin,han,felix,3,0,2,0,1

#gnarly
31,vanice,yoonchae,megan,sophia,yoonchae,0,0,0,0,0
31,eldora,daniela,megan,manon,daniela,24,12,6,0,6
31,jackie,,,,sophia,0,0,0,0,0
31,diana,megan,lara,yoonchae,megan,18,12,3,2,1
31,jess,yoonchae,,,lara,16,8,3,0,5
31,kelly,,,,manon,14,6,2,1,5

#82pressin - ignore

#immabe
32,jaimee,rui,wumuti,,rui,15,10,1,1,3
32,jess,haru,hyun,,haru,17,8,3,0,6
32,thy,wumuti,haru,,wumuti,14,7,0,1,6
32,trusha,,,,hyun,11,2,3,0,5

#lullaby
33,chloe,youngjae,mark,bambam,mark,0,0,0,0,0
33,simone,youngjae,jinyoung,jayb,youngjae,0,0,0,0,0
33,thy,,,,bambam,15,8,0,1,6
33,kelly,jayb,yugyeom,jinyoung,jackson,15,6,2,1,6
33,eldora,jinyoung,,,jinyoung,25,13,6,0,6
33,trusha,yugyeom,jayb,jackson,yugyeom,12,2,3,0,6
33,jaimee,jayb,jinyoung,youngjae,jayb,16,11,1,1,3

#lovelang - missing

#rose
34,kelly,naoko,momoka,mahina,mahina,16,6,2,1,7
34,eldora,chika,naoko,koharu,chika,26,14,6,0,6
34,jaimee,koharu,naoko,jisoo,naoko,17,12,1,1,3
34,joseph,jisoo,momoka,yuri,jisoo,0,0,0,0,0
34,melissa,,,,momoka,4,1,0,0,3
34,thy,jisoo,koharu,chika,koharu,16,8,0,1,7
34,jackie,,,,yuri,1,0,0,0,1

#baddesire
35,eldora,sunoo,,,jungwon,27,15,6,0,6
35,jaimee,niki,sunghoon,sunoo,sunoo,18,12,2,1,3
35,jess,sunghoon,jake,heeseung,sunghoon,18,9,3,0,6
35,melissa,heeseung,sunghoon,jake,heeseung,5,1,0,0,4
35,kelly,,,,jay,17,6,2,2,7
35,simone,jake,niki,heeseung,jake,1,1,0,0,0
35,sydney,heeseung,niki,sunoo,niki,12,3,7,1,1

#tokofest - ignore

#firework
36,jess,,,,taki,19,10,3,0,6
36,thy,,,,fuma,17,8,1,1,7
36,jaimee,yuma,jo,k,yuma,19,12,2,2,3
36,miranda,maki,k,harua,maki,4,3,0,0,1
36,zoe,nicholas,k,ej,ej,10,3,2,3,2
36,kelly,k,fuma,nicholas,k,18,6,2,2,8
36,trusha,nicholas,harua,k,nicholas,13,3,3,0,6
36,eilene,harua,,,harua,9,6,2,1,0
36,sydney,jo,yuma,,jo,13,3,8,1,1
